Nation,Guessed,Representation,Email,Attempted,Success,Email_2,Attempted,Success
Euan,0,Embassy of Euan,elvismonarchy@proton.me,0,0,euan.austin20108@gmail.com,0,0
 Algeria,0,Embassy of Algeria in London,info@algerianembassy.org.uk,0,0,None,0,0
 Botswana,0,High Commission of Botswana in London,bohico@gov.bw,0,0,None,0,0
 Botswana,0,High Commission of Botswana in London,bohico@govbw.com,0,0,None,0,0
 Burundi,0,Embassy of Burundi in London,information@burundiembassyorg.uk,0,0,None,0,0
 Cameroon,0,High Commission of Cameroon in London,info@cameroonhighcommission.co.uk,0,0,None,0,0
 Democratic Republic of the Congo,0,Embassy of Democratic Republic of the Congo in London,missiondrclondres@gmail.com,0,0,None,0,0
 Egypt,0,Embassy of Egypt in London,eg.emb_london@mfa.gov.eg,0,0,None,0,0
 Egypt,0,Embassy of Egypt in London,etembuk@hotmail.com,0,0,None,0,0
 Eritrea,0,Embassy of Eritrea in London,eriemba@freeuk.com,0,0,None,0,0
 Eswatini,0,High Commission of Eswatini in London,enquiries@swaziland.org.uk,0,0,None,0,0
 Ethiopia,0,Embassy of Ethiopia in London,information@ethioembassyorg.uk,0,0,None,0,0
 Gambia,0,High Commission of Gambia in London,gambia@gamhighcom.fsnet.co.uk,0,0,None,0,0
 Ghana,0,High Commission of Ghana in London,enquiries@ghana-com.co.uk,0,0,None,0,0
 Guinea,0,Embassy of Guinea in London,embassyofguineauk@gmail.com,0,0,None,0,0
 Guinea,0,Embassy of Guinea in London,info@embassyofguinea.org.uk,0,0,None,0,0
 Liberia,0,Embassy of Liberia in London,info@embassyofliberia.org.uk,0,0,None,0,0
 Madagascar,0,Embassy of Madagascar in London,embamadlon@yahoo.co.uk,0,0,ambamad.contact@madagascarembassy.org,0,0
 Mauritania,0,Embassy of Mauritania in London,info@mauritanianembassy.org.uk,0,0,None,0,0
 Morocco,0,Embassy of Morocco in London,ambalondres@maec.gov.ma,0,0,cg.london@maec.gov.ma,0,0
 Nigeria,0,Embassy of Nigeria in London,chancery@nigerianhcorg.uk,0,0,information@nigerianhcorg.uk,0,0
 São Tomé and Príncipe,0,Consulate General of São Tomé and Príncipe in London,chris.buckwell@btopenworld.com,0,0,None,0,0
 Sierra Leone,0,High Commission of Sierra Leone in London,info@slhc-uk.org.uk,0,0,None,0,0
 South Africa,0,High Commission of South Africa in London,london.general@foreign.gov.za,0,0,None,0,0
 Sudan,0,Embassy of Sudan in London,admin@sudanembassy.co.uk,0,0,None,0,0
 Tanzania,0,High Commission of Tanzania in London,balozi@tanzania-online.gov.uk,0,0,None,0,0
 Zambia,0,High Commission of Zambia in London,immzhcl@btconnect.com,0,0,None,0,0
 Zimbabwe,0,Embassy of Zimbabwe in London,zimlondon@yahoo.co.uk,0,0,None,0,0
 Afghanistan,0,Embassy of Afghanistan in London,london@mfa.gov.af,0,0,contacts@afghanistanembassy.org.uk,0,0
 Armenia,0,Embassy of Armenia in London,armembassyuk@mfa.am,0,0,None,0,0
 Azerbaijan,0,Embassy of Azerbaijan in London,london@mission.mfa.gov.az,0,0,None,0,0
 Bangladesh,0,High Commission of Bangladesh in London,mca@bhclondon.org.uk,0,0,None,0,0
 Bangladesh,0,High Commission of Bangladesh in Birmingham,consular.birmingham@mofa.gov.bd,0,0,None,0,0
 Bangladesh,0,High Commission of Bangladesh in Manchester,bdoot.man@btconnect.com,0,0,None,0,0
 Brunei,0,High Commission of Brunei in London,bhcl@bruneihighcomissions.uk,0,0,None,0,0
 Cambodia,0,Embassy of Cambodia in London,cambodianembassy@btconnect.com,0,0,None,0,0
 China,0,Consulate General of China in Belfast,chinaconsul_bft_uk@mfa.gov.cn,0,0,None,0,0
 China,0,Embassy of China in London,chinaemb_uk@mfa.gov.cn,0,0,None,0,0
 China,0,Consulate General of China in Edinburgh,chinaconsul_eb_uk@mfa.gov.cn,0,0,None,0,0
 China,0,Consulate General of China in Manchester,chinaconsul_man_uk@mfa.gov.cn,0,0,None,0,0
 India,0,High Commission of India in London,inf.london@mea.gov.in,0,0,None,0,0
 India,0,Consulate General of India in Edinburgh,cg.edinburgh@mea.gov.in,0,0,None,0,0
 India,0,Consulate General of India in Birmingham,consulatgenerali@consulateategenerald.fsnet.uk,0,0,None,0,0
 Indonesia,0,Embassy of Indonesia in London,london.kbri@kemlu.go.id,0,0,None,0,0
 Japan,0,Embassy of Japan in London,info@ld.mofa.go.jp,0,0,None,0,0
 Japan,0,Consulate General of Japan in Edinburgh,info@ed.mofa.go.jp,0,0,None,0,0
 Kazakhstan,0,Embassy of Kazakhstan in London,london@kazakhstan-embassy.org.uk,0,0,None,0,0
 Kyrgyzstan,0,Embassy of Kyrgyzstan in London,email@kyrgyzembassyorg.uk,0,0,None,0,0
 Laos,0,Embassy of Laos in London,laosemblondon@gmail.com,0,0,None,0,0
 Malaysia,0,High Commission of Malaysia in London,mwlondon@kln.gov.my,0,0,None,0,0
 Maldives,0,High Commission of Maldives in London,maldives.high.commission@virgin.net,0,0,None,0,0
 Mongolia,0,"Honorary Consulate of Mongolia in Glasgow, Scotland",david@sand-baggers.com,0,0,None,0,0
 Mongolia,0,Embassy of Mongolia in London,london@mfa.gov.mn,0,0,None,0,0
 Myanmar,0,Embassy of Myanmar in London,Memblondon@Asl.com,0,0,None,0,0
 Nepal,0,Embassy of Nepal in London,eon@nepembassy.org.uk,0,0,None,0,0
